SiteID;SiteCode;SiteName;Longitude;Latitude;Elevation;Elevation_DEM;Elevation_FonteDati;Regione;FullSiteCode;Rete;State
6507;1;Pergine;11.236686;46.062297;475;NA;475;Trentino;1;32;Italy
6508;3;Tenna;11.263616;46.015757;569;NA;569;Trentino;3;32;Italy
6509;9;Centa;11.234123;45.970184;815;NA;815;Trentino;9;32;Italy
6510;10;Levico (Terme);11.304882;46.010585;502;NA;502;Trentino;10;32;Italy
6511;14;Pontarso;11.494414;46.115589;925;NA;925;Trentino;14;32;Italy
6512;15;Bieno;11.553742;46.079537;806;NA;806;Trentino;15;32;Italy
6513;17;Costabrunella;11.584905;46.131138;2030;NA;2030;Trentino;17;32;Italy
6514;18;Pieve Tesino (O.P. Enel);11.619781;46.070275;775;NA;775;Trentino;18;32;Italy
6515;21;S. Martino di Castrozza;11.801413;46.261299;1450;NA;1450;Trentino;21;32;Italy
6516;24;Passo Cereda;11.906843;46.194016;1375;NA;1375;Trentino;24;32;Italy
6517;26;Tonadico;11.836006;46.179227;744;NA;744;Trentino;26;32;Italy
6518;27;Val Noana (Diga);11.838542;46.138635;1017;NA;1017;Trentino;27;32;Italy
6519;29;Caoria (Centrale);11.661763;46.204444;908;NA;908;Trentino;29;32;Italy
6520;30;Canal San Bovo;11.73469;46.149827;757;NA;757;Trentino;30;32;Italy
6521;32;Lavarone;11.254037;45.939893;1155;NA;1155;Trentino;32;32;Italy
6522;38;San Michele All'Adige;11.132434;46.192616;205;NA;205;Trentino;38;32;Italy
6523;63;Pian Palu' (Diga);10.61394;46.336534;1795;NA;1795;Trentino;63;32;Italy
6524;64;Peio;10.675627;46.363996;1565;NA;1565;Trentino;64;32;Italy
6525;65;Careser (Diga);10.699326;46.42264;2600;NA;2600;Trentino;65;32;Italy
6526;68;Cogolo Pont (Centrale);10.688066;46.362229;1185;NA;1185;Trentino;68;32;Italy
6527;69;Passo Tonale T0069;10.611037;46.263316;1795;NA;1795;Trentino;69;32;Italy
6528;71;Mezzana;10.795807;46.313429;905;NA;905;Trentino;71;32;Italy
6529;74;Male';10.916104;46.355098;735;NA;735;Trentino;74;32;Italy
6530;75;Somrabbi (Piazzola di Rabbi);10.803592;46.410351;1352;NA;1352;Trentino;75;32;Italy
6531;76;S. Bernardo di Rabbi;10.844362;46.400503;1098;NA;1098;Trentino;76;32;Italy
6532;80;Fondo;11.138006;46.439668;987;NA;987;Trentino;80;32;Italy
6533;82;Passo Mendola;11.189417;46.419238;1320;NA;1320;Trentino;82;32;Italy
6534;83;Cles;11.031223;46.362003;665;NA;665;Trentino;83;32;Italy
6535;84;Santa Giustina;11.061704;46.34568;532;NA;532;Trentino;84;32;Italy
6536;86;Denno;11.050831;46.273139;426;NA;426;Trentino;86;32;Italy
6537;88;Tres (Diga);11.099216;46.326476;830;NA;830;Trentino;88;32;Italy
6538;90;Mezzolombardo;11.093366;46.214254;225;NA;225;Trentino;90;32;Italy
6539;92;Pian Fedaia (Diga);11.862414;46.461795;2040;NA;2040;Trentino;92;32;Italy
6540;94;Passo Costalunga;11.613467;46.404425;1750;NA;1750;Trentino;94;32;Italy
6541;96;Pezze' di Moena (Diga);11.664561;46.383662;1205;NA;1205;Trentino;96;32;Italy
6542;98;Moena;11.659198;46.375264;1200;NA;1200;Trentino;98;32;Italy
6543;99;Paganella;11.037444;46.143291;2125;NA;2125;Trentino;99;32;Italy
6544;101;Zambana;11.079707;46.156372;201;NA;201;Trentino;101;32;Italy
6545;102;Predazzo (Centrale);11.595046;46.310039;1005;NA;1005;Trentino;102;32;Italy
6546;103;Passo Rolle;11.787638;46.297214;1995;NA;1995;Trentino;103;32;Italy
6547;104;Passo Valles;11.799764;46.338417;2032;NA;2032;Trentino;104;32;Italy
6548;105;Forte Buso (Diga);11.704362;46.305812;1480;NA;1480;Trentino;105;32;Italy
6549;107;Cavalese;11.459207;46.291154;1000;NA;1000;Trentino;107;32;Italy
6550;109;Cadino di Fiemme;11.41451;46.245739;964;NA;964;Trentino;109;32;Italy
6551;110;Stramentizzo (Diga);11.376125;46.264652;815;NA;815;Trentino;110;32;Italy
6552;113;Grumes;11.29664;46.220772;845;NA;845;Trentino;113;32;Italy
6553;114;Valda;11.267092;46.209185;855;NA;855;Trentino;114;32;Italy
6554;115;Segonzano (Gresta);11.289532;46.211348;660;NA;660;Trentino;115;32;Italy
6555;116;Segonzano (Scancio);11.259966;46.191578;720;NA;720;Trentino;116;32;Italy
6556;118;Cembra;11.217991;46.170656;652;NA;652;Trentino;118;32;Italy
6557;119;Lisignago;11.192061;46.159357;613;NA;613;Trentino;119;32;Italy
6558;120;Pozzolago (Centrale);11.231823;46.165436;420;NA;420;Trentino;120;32;Italy
6559;121;Lavis;11.118534;46.138459;230;NA;230;Trentino;121;32;Italy
6560;129;Trento (Laste);11.135627;46.071872;312;NA;312;Trentino;129;32;Italy
6561;135;Trento (Roncafort);11.101279;46.095667;194;NA;194;Trentino;135;32;Italy
6562;136;Trento - via Zambra - Top Cent;11.117933;46.09004;218;NA;218;Trentino;136;32;Italy
6563;137;Trento Piazza Vittoria;11.123815;46.067682;196;NA;196;Trentino;137;32;Italy
6564;139;Sant'Orsola;11.3022;46.107105;930;NA;930;Trentino;139;32;Italy
6565;140;Piazze di Pine';11.273518;46.149998;1025;NA;1025;Trentino;140;32;Italy
6566;141;Sternigo;11.252195;46.139962;1040;NA;1040;Trentino;141;32;Italy
6567;142;Povo;11.157701;46.066903;430;NA;430;Trentino;142;32;Italy
6568;144;Monte Bondone;11.054025;46.013516;1500;NA;1500;Trentino;144;32;Italy
6569;146;Aldeno;11.091715;45.967849;182;NA;182;Trentino;146;32;Italy
6570;147;Rovereto;11.043954;45.896097;203;NA;203;Trentino;147;32;Italy
6571;148;Terragnolo (Piazza);11.150991;45.879596;800;NA;800;Trentino;148;32;Italy
6572;149;Speccheri (Diga);11.13496;45.768496;875;NA;875;Trentino;149;32;Italy
